date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
8/1/2020,Alabama,1,87723,1580,85278,1531,2445,49
8/1/2020,Alaska,2,3675,21,3675,21,0,0
8/1/2020,Arizona,4,174108,3695,,,,
8/1/2020,Arkansas,5,42511,453,42511,453,0,0
8/1/2020,California,6,502273,9222,502273,9222,0,0
8/1/2020,Colorado,8,46948,1841,,,,
8/1/2020,Connecticut,9,49810,4432,,,,
8/1/2020,Delaware,10,14788,585,,,,
8/1/2020,Florida,12,470378,6842,0,6842,470378,0
8/1/2020,Georgia,13,171342,3674,171342,3674,0,0
8/1/2020,Hawaii,15,2088,25,,,,
8/1/2020,Idaho,16,20853,193,19625,155,1228,38
8/1/2020,Illinois,17,180701,7703,179420,7504,1281,199
8/1/2020,Indiana,18,67800,2965,66154,2765,1646,200
8/1/2020,Iowa,19,44753,872,44753,872,0,0
8/1/2020,Kansas,20,28123,358,,,,
8/1/2020,Kentucky,21,30981,753,,,,
8/1/2020,Louisiana,22,116394,3949,116280,3835,114,114
8/1/2020,Maine,23,3912,123,3499,123,413,0
8/1/2020,Maryland,24,88907,3493,88799,3372,108,121
8/1/2020,Massachusetts,25,117612,8609,109787,8389,7825,220
8/1/2020,Michigan,26,90752,6453,81561,6200,9191,253
8/1/2020,Minnesota,27,54503,1640,54463,1600,40,40
8/1/2020,Mississippi,28,58747,1663,57912,1620,835,43
8/1/2020,Missouri,29,51045,1305,50970,1304,75,1
8/1/2020,Montana,30,3977,60,3972,60,5,0
8/1/2020,Nebraska,31,26211,338,26211,338,0,0
8/1/2020,Nevada,32,48142,831,48136,831,6,0
8/1/2020,New Hampshire,33,6583,415,6583,415,0,0
8/1/2020,New Jersey,34,183535,15819,181660,13944,1875,1875
8/1/2020,New Mexico,35,20600,642,20600,642,0,0
8/1/2020,New York,36,419723,32372,415098,27747,4625,4625
8/1/2020,North Carolina,37,122433,1947,122433,1947,0,0
8/1/2020,North Dakota,38,6473,107,6469,103,4,4
8/1/2020,Ohio,39,91159,3489,,,,
8/1/2020,Oklahoma,40,36456,541,36456,541,0,0
8/1/2020,Oregon,41,18510,325,1862,,16648,
8/1/2020,Pennsylvania,42,116787,7261,,,,
8/1/2020,Rhode Island,44,19022,1007,19022,1007,0,0
8/1/2020,South Carolina,45,89016,1712,88523,1647,493,65
8/1/2020,South Dakota,46,8764,130,8764,130,0,0
8/1/2020,Tennessee,47,103144,1047,101995,533,1149,514
8/1/2020,Texas,48,441688,7265,432425,7265,9263,0
8/1/2020,Utah,49,40249,308,24721,185,15528,123
8/1/2020,Vermont,50,1414,57,1414,57,0,0
8/1/2020,Virginia,51,89888,2174,,,,
8/1/2020,Washington,53,58726,1654,57228,1581,1498,73
8/1/2020,West Virginia,54,6642,116,6502,116,140,0
8/1/2020,Wisconsin,55,57020,943,53026,936,3994,7
8/1/2020,Wyoming,56,2726,26,2254,,472,
